nastavna_jedinica,razred,redni_br_casa,tip_nastavnog_casa,glavni_deo,domaci
Upotreba IKT uredjaja na odgovoran i bezbedan nacin u mreznom okruzenju,VI,11,obrada,"Kroz razgovor sa ucenicima predstaviti pojam i vrste racunarskih mreza i uvesti osnovne pojmove i terminologiju iz ove oblasti (server, klijent, lokalne mreze, mreze sirokog raspona, globalna mreza – internet). Objasniti ucenicima pojam IP i MAC adrese. Na primeru objasniti ucenicima pojam URL adrese, domena i ekstenzije. Navesti primere nekih ekstenzija. Objasniti ucenicima kako koristimo I?T uredjaje odgovorno i bezbedno u mreznom okruzenju i koja su to pravila za rad sa digitalnim uredjajima kojih se treba pridrzavati u mreznom okruzenju; objasniti im kako da postupe kada se, prilikom koriscenja I?T uredjaja u mreznom okruzenju, nadju u okolnostima koje nisu bezbedne za njih. Razgovarati sa ucenicima sta podrazumeva odgovorno i sigurno koriscenje digitalnih uredjaja za rad u mreznom okruzenju.",Odgovori na pitanja iz udzbenika na strani 52. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Internet servisi,VI,12,obrada,"Predstaviti ucenicima osnovne internet servise: servis elektronske poste, www kao javni informacioni servis, diskusione grupe i servise za pretrazivanje interneta. Objasniti cemu ti servisi sluze, upoznati ih sa planom koriscenja ovih servisa. Predstaviti veb kao najpoznatiji internet servis. Objasniti da veb funkcionise tako sto su korisnicima potrebne usluge i njima ih pruzaju uredjaji specijalizovani za to (serveri). U svakoj komunikaciji moraju da postoje pravila, odnosno protokoli (HTTP i HTTPS) kao i pravilno navodjenje i koriscenje adresa (domena i URL sa jedne i IP i MAC adresa sa druge strane). Objasniti strukturu URL adrese i znacenje pojedinih domena edu.rs, gov.rs.com i dr. Uputiti ucenike na veb-sajt (npr. http://www.mojaipadresa.info/) putem kojeg mogu da pronadju informacije o IP adresi sajta, kao i uredjaja koji je upotrebljen za pretragu. Demonstrirati ucenicima koriscenje Google diska. Upoznati ucenike sa pojmom elektronske poste. Demonstrirati ucenicima koriscenje Gmail-a.",Odgovori na pitanja iz udzbenika na strani 52. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Pravila bezbednog rada na internetu,VI,13,obrada,"Ukazati ucenicima koje vrste opasnosti se nalaze na internetu. Naglasiti da se prilikom posete sajtovima, kao i prilikom preuzimanja sadrzaja, digitalni uredjaj koji koristimo je izlozen procedurama kojima se prikupljaju podaci za koje korisnik ne zna u koju ce svrhu biti upotrebljeni (IP adresa, lokacija), a uredjaj moze biti izlozen dejstvu nezeljenih programa (virusi, spijunski programi). U tu svrhu je potrebno primeniti raspolozive mere zasitite. Posebnu paznju posvetiti pitanjima digitalnog nasilja. Nabrojati i opisati najcesce vidove digitalnog nasilja (kako se digitalni uredjaji i servisi koriste kao orudja digitalnog nasilja: socijalne mreze, SMS i telefonski pozivi, slikovne poruke i video-materijali i dr.), kako prepoznati oblike digitalnog nasilja, posebno vrsnjackog nasilja. Diskutovati o situacijama kada se neko nasilje vrsi u stvarnom svetu i prenosi u digitalni svet, koji su najcesci primeri, kako ispravno reagovati u konkretnim situacijama, kome se obratiti, koje postupke je moguce primenjivati i koja pravila ponasanja ustanoviti za bezbedno predstavljanje na mrezi. Upoznati ucenike sa nekim od nacina za prepoznavanje i prijavu digitalnog nasilja: SOS telefon i onlajn forma za prijavu nasilja, kao i sajtovi koji su posveceni projektima Vlade u borbi protiv digitalnog nasilja. Naglasiti znacaj digitalnog traga koji posetilac ostavlja prilikom posete nekom sajtu. ?roz razgovor sa ucenicima doci do zakljucka koje bi to bile preventivne mere zastite. ?roz razgovor sa ucenicima podsetiti ih na pojam internet bonton.",Odgovori na pitanja iz udzbenika na strani 56.
"Pretrazivanje interneta, odabir rezultata i preuzimanje sadrzaja",VI,14,obrada,"Kroz razgovor sa ucenicima, objasniti im koji su to nacini pristupa internetu. Objasniti koja je uloga veb-citaca i prikazati one najpoznatije (Internet Explorer, Google Chrome, Mozilla Firefox, Opera, Safari). Takodje, napomenuti najpoznatije veb-citace za decu i mogucnost zastite od neprimerenih sadrzaja koriscenjem blokera (Ad Bloks). Objasniti ucenicima pojam veb-pretrazivaca i njihovu ulogu. Prikazati one najpoznatije kao sto su: Google, Yahoo, Bing, Ask, ?rstarica i drugi. Takodje, navesti primere posebnih pretrazivaca za decu. Na primeru prikazati i objasniti pretrazivanje po zadatim kljucnim recima. Napomenuti da se za dobijanje tacnijih rezultata mogu koristiti pretrage i to stavljanjem kljucnih reci pod navodnike i pretrage koriscenjem zvezdice (*). Na primeru prikazati i objasniti preuzimanje sadrzaja sa interneta. Vazno je da ucenici shvate koliko je bitno umeti proceniti podatke pronadjene na internetu (to su podaci o internet adresi, publici kojoj je sajt namenjen, autoru, tacnosti, objektivnosti, aktuelnosti sadrzaja koje internet nudi) i podsticati razvoj njihovog kritickog misljenja. Podsetiti ucenike na znacaj zastite privatnosti na internetu. Takodje, naglasiti znacaj postovanja autorskih prava prilikom preuzimanja materijala sa interneta. Upoznati ucenike sa pojmom softverske licence.",Odgovori na pitanja iz udzbenika na strani 60.
Rad na projektu. Primer izrade projekta,VI,15,obrada,"Objasniti pojam faze projekta kao i pojam multimedijalnog projekta koji ucenici izradjuju. Predstaviti moguce uloge i zaduzenja svake uloge u grupi (vodja, novinar-istrazivac, kreator, prezenter i sl.). Podeliti odeljenje u grupe koje bi trebalo da imaju od tri do pet clanova. Istaci sta podrazumeva grupni rad (dobra saradnja, dogovor i medjusobno uvazavanje, pomaganje, razmena ideja, prenosenje znanja i vestina). U dogovoru s nastavnikom neka svaka grupa odabere temu projekta. Ucenici zajedno sa nastavnikom prolaze sve korake rada na projektnom zadatku, pri cemu nastavnik zastaje na svakom od njih, objasnjava, podstice dijalog i predlaze resenja. Koraci izvodjenja jednog projektnog zadatka mogu se ostvariti na sledeci nacin: Faza 1 – organizacija rada; Faza 2 – planiranje; Faza 3 – istrazivanje; Faza 4 – obrada materijala; Faza 5 – predstavljanje resenja; Faza 6 – vrednovanje rezultata. Za projektni zadatak odabrati temu iz nastavnog gradiva ili svakodnevnog zivota. U udzbeniku u okviru lekcije „Teme i ideje“ (od strane 69 do 72) dati su predlozi tema za projektni zadatak, kao i ideje za njihovu realizaciju sa predlogom programa koji se mogu koristiti. Dodatni podsticaj za ucenike moze biti to da ce najbolji radovi biti predstavljeni u skolskom casopisu, da ce se naci na internet stranici skole ili na oglasnoj tabli. O tome glasa odeljenje, cime se primenjuje metoda vrednovanja i samovrednovanja. Svi ostali radovi bice postavljeni na pano u kabinetu informatike i racunarstva.",Pripremiti materijal za izradu projektnog zadatka
Projektni zadatak,VI,16,sistematizacija,"Ucenici zajedno sa nastavnikom rade prvu i drugu fazu rada na projektu. Za te aktivnosti ucenicima moze biti od velike koristi „Primer izrade projektnog zadatka“, u kojem je detaljno prikazano svih sest faza rada na projektu kroz primer izrade upitnika i PowerPoint prezentacije na temu „Digitalno nasilje“, u programu PowerPoint (od strane 66 do 68 u udzbeniku). Na istom primeru prikazane su i preostale faze, tako da ih ucenici mogu koristiti za celokupnu izradu projektnog zadatka. U prvoj fazi ucenici se u okviru grupa dogovaraju o podeli projektnih aktivnosti u okviru grupe (prema znanju, vestinama, iskustvima), a zatim se dogovaraju sa nastavnikom na osnovu kojih pokazatelja ce se vrsiti samoocenjivanje grupa. U drugoj fazi ucenici uz planiraju vreme potrebno za rad u svakoj fazi i projektnim aktivnostima. Nastavnik treba posebno da istakne znacaj aktivnosti i rada svih clanova grupe. U trecoj fazi ucenici osmisljavaju pitanja za upitnik i uz pomoc nastavnika kreiraju Google upitnik. Salju upitnik ispitanicima.",Pripremanje materijala i razrada teme za drugi cas izrade projektnog zadatka
Projektni zadatak,VI,17,sistematizacija,"Na ovom casu ucenici ostvaruju cetvrtu fazu rada na projektu. U cetvrtoj fazi ucenici se bave obradom pripremljenih materijala. Pregledaju upitnike i rade statisticku obradu. Rezultate predstavljaju grafikonima. Ucenici prave slike, audio i/ili video materijale o utiscima o radu na projektu. Dizajner pravi prezentaciju u koju ubacuje kreirani materijal. Na kraju casa nastavnik moze da posavetuje ucenike kako pravilno da predstave projekat, buduci da ih to ocekuje narednog casa.",Zavrsi projektni zadatak kod kuce i pripremi se za izlaganje rezultata rada na sledecem casu.
Prezentacija projektnih zadataka,VI,18,provera,"Grupe predstavljaju svoje projektne zadatke. Nastavnik je moderator, obezbedjuje uslove za sto uspesnije izlaganje, usmerava razgovor i vrsi procenu uradjenog obrazlazuci rezultate. Svaki clan grupe procenjuje koliko je sam bio uspesan u resavanju postavljenih zadataka i koliko su svi zajedno kao grupa bili uspesni (tzv. medjusobno ocenjivanje).",
Uvod u tekstualni programski jezik. Razvojno oruzenje Python-a,VI,19,obrada,"Predstaviti koncept tekstualnih programskih jezika, ukratko, potom Python-a, kao i neke osnovne slicnosti i razlike u odnosu na vizuelni programski jezik koji su ucenici koristili u petom razredu. Predstaviti ucenicima razvojno okruzenje Python-a. Nabrojati prednosti zbog kojih je Python izabran za izucavanje. Demonstrirati ucenicima instalaciju Python-a na racunar. Ukratko predstaviti Python-ov editor i znacaj postovanja osnovnih pravila prilikom pisanja naredbi (objasniti pojam sintakse i sintaksnih pravila). Upoznati ucenike sa vrstama gresaka u programiranju. Nakon pokazivanja, ucenici u parovima ili samostalno uz pomoc nastavnika pokrecu Python i ispisuju pozdrav.",Odgovori na pitanja iz udzbenika na strani 82. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Upravljanje podacima,VI,20,obrada,"Uvesti promenljive kao pojam za imenovanje ulaznih podataka i medjurezultata izracunavanja, kao i mehanizam za ucitavanje vrednosti ulaznih podataka i ispis rezultata. Promenljive u pocetku tretirati na isti nacin kao u matematici i ne menjati vrednosti jednom dodeljenim promenljivima. Upoznati ucenike sa pravilima za definisanje imena promenljivih. Na primeru objasniti razliku izmedju naredbi print() i input(). Na primeru objasniti razliku izmedju funkcija int() i float(). Podsetiti ucenike kako su prosle godine u Scratch-u pravili projekat za izracunavanje obima kvadrata. Isti primer uraditi u Python-u. Naglasiti da se umesto tacke u programiranju koristi zvezdica (*) kao simbol operacije mnozenja. Podsetiti se algoritma za taj zadatak i povezati algoritamske korake sa odredjenim komandama. Ucenici uz podrsku nastavnika kreiraju program i zajedno analiziraju programski kod. Ukoliko ostane vremena uvesti jos neki slican primer, koji ima realnu primenu u stvarnom zivotu iz oblasti bliskih ucenicima ili u drugim nastavnim predmetima (npr. fizike).",Odgovori na pitanja iz udzbenika na stranici 86.
Aritmeticko-logicki operatori i kreiranje izraza,VI,21,obrada,"Kroz razgovor sa ucenicima uvesti pojam izraza u programskom jeziku. Kroz razgovor sa ucenicima podsetiti se simbola osnovnih aritmetickih operacija i koji su njihovi simboli koje su koristile blok-naredbe u Scratch-u. Konstatovati da se iste koriste i u Python-u. Na jednostavnom primeru upoznati ucenike sa pojmom celobrojnog deljenja i ostatka pri deljenju. Upoznati ih sa operatorima tih operacija. Pokazati moguce primene: konverzije metrickih jedinica (npr. konverzija centimetara u metre i centimetre, konverzija vremena iz minuta u sate i minute, konverzija uglova iz sekundi u stepene, minute i sekunde, odredjivanje cifara dvocifrenog broja i slicno). Obratiti paznju na to da se na casovima matematike ne uvode funkcije za odredjivanje kolicnika i ostatka, tako da od ucenika ne treba ocekivati predznanje u ovom domenu. Podsetiti ucenike na prioritet racunskih operacija. Sa ucenicima uraditi nekoliko primera racunanja izraza. Na primeru objasniti ucenicima izmenu vrednosti promenljivih. Kroz razgovor sa ucenicima podsetiti ih na relacijske operatore i posebno naglasiti sta znace operatori: !=, <=,>=. Objasniti ucenicima razliku izmedju operatora = i ==. Kroz razgovor sa ucenicima podsetiti ih na logicke operatore i njihovo znacenje. Sa ucenicima uraditi primer 2 na 91. strani udzbenika.",Uraditi primere iz udzbenika na strani 92.
Korak po korak – od algoritma do programa,VI,22,obrada,"Zadati jednostavan primer npr. izracunavanje obima kvadrata ili pravougaonika za unete duzine stranica. Nastavnik demonstrira izradu, ucenici prate njegov rad, diskutuju i rade isto to. U prvom koraku analize zadatka definisu se promenljive koje ce koristiti, zatim ulazne i izlazne vrednosti, kao i formula za racunanje obima. U drugom koraku ucenici, uz pomoc nastavnika, povezuju algoritamske korake sa njihovim grafickim simbolima i crtaju algoritam. U trecem koraku pokrecu program i prevode algoritam u programski kod. U cetvrtom koraku pisu kod za unos promenljivih. U petom koraku unose izraz koji sluzi za izracunavanje obima. U sestom koraku pisu kod za ispis rezultata obrade. U sedmom koraku pokrecu program. U osmom koraku ispravljaju potencijalne greske u programu. Bice potrebno i napraviti vezu izmedju naredbi koje zapisujemo tekstom i ocekivanog dejstva te naredbe, na jednostavnom primeru, kao i vezu izmedju koraka algoritma i odgovarajuce naredbe.",Odgovori na pitanja iz udzbenika na strani 98.
Funkcije u programskom jeziku Python,VI,23,obrada,"Predstaviti koncept dekomponovanja slozenijih problema na jednostavnije potprobleme u domenu izracunavanja kroz definisanje i upotrebu pomocnih funkcija. Odabrati prigodne, jednostavne zadatke, kojima se ilustruje upotreba nekih elementarnih biblioteckih funkcija (npr. rastojanje izmedju dva broja se moze uvesti kao apsolutna vrednost njihove razlike, minimum i maksimum vise zadatih vrednosti ili drugih prigodnih zadataka koji se mogu pronalaziti u biblioteckim funkcijama). Nastavnik upoznaje ucenike sa pojmom funkcije u programiranju, njenim argumentima i nacinom pozivanja funkcije u programu. Nastavnik upoznaje ucenike sa pojmom ugradjene funkcije i pojedinacno objasnjava svrhu i argumente. Nastavnik zadaje ucenicima test-primere funkcija. Ucenicima prikazati i mogucnost definisanja pomocnih funkcija, ali insistirati samo na izrazito jednostavnim primerima (npr. funkcija koja izracunava obim pravougaonika). Nastavnik upoznaje ucenike sa nacinom za definisanje funkcija. Nastavnik zadaje ucenicima primere za vezbanje definisanja razlicitih funkcija.",Odgovori na pitanja iz udzbenika na strani 105.
Programske strukture za kontrolu toka programa,VI,24,obrada,"Kroz razgovor sa ucenicima podestiti se kako izgledaju programi koji imaju linijsku strukturu. Uz pomoc biblioteke „Kornjaca grafika“ demonstrirati crtanje pravougaonika. Nastavnik zadaje ucenicima primere za vezbanje kreiranja programa sa linijskom strukturom (crtanje uz pomoc pokretanja objekta koji tokom kretanja ostavlja trag na ekranu i robota koji u lavirintu ima zadatak da dodje na odredjeno mesto, zaobilazeci pritom prepreke i premestajuci predmete).",Odgovori na pitanja iz udzbenika na strani 109.
Ciklicna programska struktura – naredbe ponavljanja,VI,25,obrada,"Uvesti i definisati pojam ciklicne programske strukture, odnosno petlje. Kroz razgovor sa ucenicima, objasniti zasto se u programiranju koriste ponavljanja (petlje) i koja je moguca prednost ove programske strukture u odnosu na linijsku. Podsetiti ucenike na tri vrste ciklicnih programskih struktura (sa zadatim brojem ponavljanja, beskonacna petlja, sa zadatim uslovom za izlazak iz petlje) i blok naredbe koje ih ostvaruju u Scratch-u. Ponavljanje zapoceti najjednostavnijim oblikom u kojem se trazi da se neki blok naredbi ponovi odredjeni broj puta (npr. pomeri robota deset koraka napred, deset puta ispisi neki tekst, cetiri puta pomeri kornjacu napred i okreni je za 90 stepeni). Upoznati ucenike sa petljom sa tacno odredjenim brojem ponavljanja i njenom sintaksom. Na primeru algoritma objasniti kako se odvija izvrsavanje komandi kod petlje sa zadatim brojem ponavljanja. Na primerima objasniti ucenicima slucajeve petlje for sa jednim, dva i tri argumenta. Kroz izradu zadataka (str. 114 i 115 u udzbeniku) ucenicima skrenuti paznju na izmenu vrednosti brojacke promenljive tokom trajanja petlje. Prethodno, veoma pazljivo, skrenuti paznju ucenicima na to da se vrednosti promenljivih tokom trajanja programa mogu menjati (npr. cena pre i posle poskupljenja se moze cuvati u jednoj promenljivoj), za razliku od matematickog konteksta – na koji su ucenici navikli – u kojem su promenljive samo imena vrednosti i ne postoji mogucnost izmene vrednosti jednom uvedene promenljive.",Napisati program u Python-u koji ispisuje parne brojeve prve desetice
Petlja while,VI,26,obrada,"Uvesti i definisati pojam petlje sa zadatim uslovom za izlazak iz petlje. Kroz razgovor sa ucenicima, podsetiti se blok naredbe u Scratch-u, koja je sluzila za petlje sa zadatim uslovom za izlazak iz petlje. Upoznati ucenike sa petljom sa zadatim uslovom za izlazak i njenom sintaksom. Na primeru algoritma objasniti kako se odvija izvrsavanje komandi kod petlje sa zadatim uslovom za izlazak. Sa ucenicima uraditi primer iz udzbenika na strani 119. Upoznati ucenike sa beskonacnom petljom i njenom sintaksom. Na primeru objasniti kako se odvija izvrsavanje komandi kod beskonacne petlje i kada se ono zavrsava.",Odgovori na pitanja iz udzbenika na strani 122.
Ciklicna programska struktura,VI,27,utvrdjivanje,"Sa ucenicima uraditi primere: Napisi program koji izracunava obime pet jednakostranicnih trouglova cije duzine stranica korisnik unosi. Napisi program koji odredjuje i ispisuje cifre datog prirodnog broja (veceg od 1), krenuvsi od cifre jedinica.","Ucenici treba da posvete vise paznje onim delovima koje su obradjivali na nastavi, a koje nisu najbolje razumeli, kako bi ih kroz dodatno vezbanje uspesno savladali."
